Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1,Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2,Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3,Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4,Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6,Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7,Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8,Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9,Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10,Time (s) Run #11,Position (m) Run #11,Velocity (m/s) Run #11,Acceleration (m/s²) Run #11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6,1.31,-0.54,1.56,2.6,1.37,-3.15,-28.16,2.6,1.47,0.01,3.89,,,,,,,,,,,,,,,,,,,,,,,,,2.6,1.46,-0.6,58.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.62,1.31,-0.11,,2.62,1.36,-1.97,30.41,2.62,1.47,0.19,3.12,,,,,,,,,,,,,,,,,,,,,,,,,2.62,1.08,2.41,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.64,1.31,-0.06,,2.64,1.35,-0.36,40.19,2.64,1.48,0.27,-1.91,,,,,,,,,,,,,,,,,,,,,,,,,2.64,1.39,-0.21,-34.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.66,1.31,,,2.66,1.34,-0.21,18.45,2.66,1.5,0.11,-6.87,,,,,,,,,,,,,,,,,,,,,,,,,2.66,1.44,0.34,-44.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.68,1.34,-0.08,4.67,2.68,1.49,-0.14,-5.05,,,,,,,,,,,,,,,,,,,,,,,,,2.68,1.07,-2.62,15.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.7,1.34,-0.02,1.93,2.7,1.48,-0.23,0.81,,,,,,,,,,,,,,,,,,,,,,,,,2.7,1.44,-0.51,41.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.72,1.34,0.02,9.55,2.72,1.48,0,3.88,,,,,,,,,,,,,,,,,,,,,,,,,2.72,1.08,2.46,13.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.74,1.34,-0.08,33.58,2.74,1.48,0.07,2.19,,,,,,,,,,,,,,,,,,,,,,,,,2.74,1.38,0.26,-69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.76,1.34,1.12,40.02,2.76,1.49,0.03,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,2.76,1.43,-1.72,-82.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.78,1.33,2.91,-2.37,2.78,1.48,5.50E-4,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,2.78,1.12,-4.65,-9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.8,1.49,1.83,-67.13,2.8,1.48,0,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,2.8,1.13,-2.52,51.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.82,1.54,-1.08,-78.93,2.82,1.48,0.01,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,2.82,1.12,-0.05,59.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.84,1.35,-2.95,-21.82,2.84,1.48,-0.04,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,2.84,1.13,-0.09,20.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.86,1.34,-1.78,32.98,2.86,1.48,-0.04,0.22,,,,,,,,,,,,,,,,,,,,,,,,,2.86,1.12,0.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.88,1.34,-0.08,40.14,2.88,1.48,-0.01,0.78,,,,,,,,,,,,,,,,,,,,,,,,,2.88,1.12,-0.06,-0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.9,1.34,0.01,16.87,2.9,1.48,0.01,0.55,,,,,,,,,,,,,,,,,,,,,,,,,2.9,1.12,-0.05,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.92,1.34,0.08,1.51,2.92,1.48,0.01,0.18,,,,,,,,,,,,,,,,,,,,,,,,,2.92,1.11,-0.12,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.94,1.34,0.08,-1.05,2.94,1.48,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,2.94,1.12,-0.07,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.96,1.34,0.02,-2.69,2.96,1.48,0.01,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,2.96,1.11,0.01,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.98,1.34,-0.07,-2.36,2.98,1.48,0.01,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,2.98,1.12,-0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1.34,-0.1,-0.51,3,1.48,0.01,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,3,1.12,9.73E-4,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.02,1.34,-0.08,1.29,3.02,1.48,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,3.02,1.11,-0.06,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.04,1.34,-0.02,-3.17,3.04,1.48,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,3.04,1.12,-0.05,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.06,1.34,0.01,30.22,3.06,1.48,0.02,0.48,,,,,,,,,,,,,,,,,,,,,,,,,3.06,1.11,-0.06,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.08,1.34,-0.57,77.66,3.08,1.48,0.04,0.22,,,,,,,,,,,,,,,,,,,,,,,,,3.08,1.11,-0.02,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.1,1.34,4.1,76.14,3.1,1.48,0.03,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.11,0.09,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.12,1.27,5.21,,3.12,1.48,0.02,4.53,,,,,,,,,,,,,,,,,,,,,,,,,3.12,1.11,0.03,-1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.14,1.9,3.37,,3.14,1.48,-0.03,-14.18,,,,,,,,,,,,,,,,,,,,,,,,,3.14,1.12,0.02,-2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.16,1.4,,,3.16,1.48,0.64,-72.25,,,,,,,,,,,,,,,,,,,,,,,,,3.16,1.11,-0.08,-1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.18,1.48,-2.29,-87.16,,,,,,,,,,,,,,,,,,,,,,,,,3.18,1.12,-0.07,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.2,1.56,-6.39,-19.47,,,,,,,,,,,,,,,,,,,,,,,,,3.2,1.1,-0.07,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.22,1.13,-3.46,97.89,,,,,,,,,,,,,,,,,,,,,,,,,3.22,1.11,-0.09,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.24,1.07,-0.53,115.56,,,,,,,,,,,,,,,,,,,,,,,,,3.24,1.11,-0.04,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.26,1.56,3.6,47.46,,,,,,,,,,,,,,,,,,,,,,,,,3.26,1.11,-0.05,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.28,1.07,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,1.11,0.02,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.3,1.56,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,1.1,0.1,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.32,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,1.11,0.2,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,1.11,0.34,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,1.12,0.65,30.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,1.13,-0.39,133.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,1.17,4.6,153.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,1.02,12.39,27.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,1.78,6.26,-193.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,2,1.25,-220.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,0.93,-7.5,-66.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.02,-0.26,-10.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,0.87,-0.17,-50.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,2.04,-7.34,-59.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,0.89,-6.45,173.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,1.11,-1.15,295.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,1.02,14.49,124.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,1.78,7.22,-109.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64,1.97,0.15,-180.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,1.03,0.1,-62.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68,1.79,-0.06,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,1.97,-0.08,7.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,1.02,0.03,-29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74,1.79,0.88,-142.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76,1.97,-4.61,-171.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,1.12,-12.6,-27.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,1.13,-7.07,143.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,1.12,0,164.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,1.13,0.01,59.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,1.12,0.09,-1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88,1.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1.13,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
