Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1,Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2,Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3,Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4,Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6,Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7,Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8,Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9,Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10,Time (s) Run #11,Position (m) Run #11,Velocity (m/s) Run #11,Acceleration (m/s²) Run #11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1.34,0.12,-4.67,0.5,1.39,-0.13,-8.81,0.5,1.49,-0.04,-2.4,0.5,1.49,-0.32,1.43,0.5,1.4,-0.38,2.74,0.5,1.47,0.04,0.01,0.5,1.3,-1.31,-1.94,0.5,1.5,-0.06,-0.53,0.5,1.57,0.06,-2.5,0.5,1.33,-1,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.52,1.33,-0.05,-3.88,0.52,1.37,-0.35,0.3,0.52,1.48,-0.08,-0.5,0.52,1.48,-0.21,4.46,0.52,1.39,-0.21,5.22,0.52,1.47,0.05,-0.91,0.52,1.28,-1.34,-1.27,0.52,1.5,-0.04,2.28,0.52,1.56,-0.04,-1.37,0.52,1.32,-0.94,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.54,1.33,-0.1,-0.48,0.54,1.37,-0.09,8.13,0.54,1.48,-0.04,0.77,0.54,1.48,-0.08,4.77,0.54,1.39,-0.06,4.25,0.54,1.48,0,-1.58,0.54,1.25,-1.37,-1.1,0.54,1.5,-0.01,5.38,0.54,1.56,-0.04,1.13,0.54,1.3,-0.88,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56,1.33,0.01,1.24,0.56,1.37,0.24,5.01,0.56,1.48,-0.01,0.69,0.56,1.48,-0.01,3.78,0.56,1.39,-0.04,1.62,0.56,1.48,-0.05,-0.63,0.56,1.22,-1.36,-2.21,0.56,1.5,0.19,6.42,0.56,1.56,0.07,2.08,0.56,1.28,-0.81,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.58,1.33,0.01,0.8,0.58,1.38,0.25,-6.26,0.58,1.48,-0.02,0.45,0.58,1.48,0.04,2.62,0.58,1.39,-0.04,0.38,0.58,1.47,-0.04,0.48,0.58,1.2,-1.42,-4.18,0.58,1.5,0.36,3.06,0.58,1.57,0.09,0.88,0.58,1.26,-0.71,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,1.33,-0.01,-0.45,0.6,1.39,-0.1,-13.79,0.6,1.48,-0.02,1.05,0.6,1.48,0.12,1.02,0.6,1.39,-0.03,0.35,0.6,1.48,0.02,-0.8,0.6,1.17,-1.55,-5.1,0.6,1.52,0.37,-2.92,0.6,1.57,0.08,-0.57,0.6,1.25,-0.61,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.62,1.33,0.01,-1.64,0.62,1.38,-0.51,-12.01,0.62,1.48,0.02,1.35,0.62,1.48,0.11,-0.73,0.62,1.39,-0.02,0.39,0.62,1.48,-0.01,-4.77,0.62,1.13,-1.68,-3.56,0.62,1.52,0.18,-6.06,0.62,1.57,0.05,-0.86,0.62,1.24,-0.58,-6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64,1.33,-0.05,-2.39,0.64,1.35,-0.65,-6.29,0.64,1.48,0.07,0.3,0.64,1.49,0.05,-2,0.64,1.39,-0.01,0.2,0.64,1.48,-0.18,-8.97,0.64,1.1,-1.71,-1.52,0.64,1.52,0.01,-4.83,0.64,1.57,0.04,0.07,0.64,1.23,-0.84,-12.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66,1.33,-0.15,-2.08,0.66,1.35,-0.63,-4.21,0.66,1.49,0.05,-1.45,0.66,1.48,0.02,-2.07,0.66,1.39,-0.01,0.04,0.66,1.47,-0.41,-10.33,0.66,1.07,-1.69,-0.77,0.66,1.52,-0.02,-3.43,0.66,1.57,0.03,1.63,0.66,1.21,-1.22,-11.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.68,1.33,-0.13,0.9,0.68,1.34,-0.73,-6.23,0.68,1.49,-0.01,-1.81,0.68,1.49,-0.03,-1.81,0.68,1.39,-0.02,-0.5,0.68,1.46,-0.65,-8.57,0.68,1.03,-1.72,-1.39,0.68,1.52,-0.02,-5.01,0.68,1.57,0.11,1.11,0.68,1.18,-1.45,-4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,1.32,-0.15,2.9,0.7,1.32,-0.94,-7.91,0.7,1.48,-0.07,-0.14,0.7,1.49,-0.05,-1.37,0.7,1.39,-0.01,-0.87,0.7,1.44,-0.78,-5.83,0.7,1,-1.76,-2.18,0.7,1.52,-0.2,-5.89,0.7,1.57,0.17,-2.96,0.7,1.15,-1.4,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.72,1.33,0.06,2.89,0.72,1.3,-1.09,-7.31,0.72,1.48,-0.02,1.53,0.72,1.48,-0.09,0.5,0.72,1.39,-0.07,0.78,0.72,1.43,-0.84,-4.41,0.72,0.96,-1.81,-2.23,0.72,1.52,-0.4,-2.52,0.72,1.58,0.02,-7.26,0.72,1.12,-1.26,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.74,1.31,0,1.45,0.74,1.27,-1.21,-5.8,0.74,1.48,0.05,1.22,0.74,1.48,-0.09,2.44,0.74,1.39,-0.06,4.24,0.74,1.41,-0.92,-4.65,0.74,0.93,-1.86,-1.59,0.74,1.5,-0.34,1.99,0.74,1.58,-0.24,-6.21,0.74,1.1,-1.21,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.76,1.34,0.06,-1.98,0.76,1.25,-1.33,-5.02,0.76,1.49,0.05,-0.65,0.76,1.48,0.06,2.34,0.76,1.38,0.12,4.89,0.76,1.39,-1.03,-5.03,0.76,0.89,-1.88,-0.56,0.76,1.5,-0.18,0.44,0.76,1.56,-0.35,-0.43,0.76,1.07,-1.2,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78,1.31,0.03,-5.18,0.78,1.22,-1.4,-5.3,0.78,1.49,3.57E-4,-1.68,0.78,1.48,0.09,-1.32,0.78,1.39,0.3,-2.06,0.78,1.37,-1.14,-4.5,0.78,0.85,-1.87,-0.26,0.78,1.51,-0.18,-5.95,0.78,1.56,-0.2,4.26,0.78,1.05,-1.19,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
